rebalance_date,both_available,linear_data_available,spot_data_available,bitcoin_proxy_used,symbol
2025-01-01 00:00:00+00:00,0.2,1.0,0.2,0,5
2025-01-08 00:00:00+00:00,0.25,1.0,0.25,0,4
2025-01-15 00:00:00+00:00,0.25,1.0,0.25,0,4
2025-01-22 00:00:00+00:00,0.0,1.0,0.0,0,1
2025-01-29 00:00:00+00:00,0.0,1.0,0.0,0,1
2025-02-19 00:00:00+00:00,0.2,1.0,0.2,0,5
2025-02-26 00:00:00+00:00,1.0,1.0,1.0,0,1
2025-03-19 00:00:00+00:00,1.0,1.0,1.0,0,1
2025-04-09 00:00:00+00:00,0.5,1.0,0.5,0,2
2025-04-23 00:00:00+00:00,0.0,1.0,0.0,0,4
2025-04-30 00:00:00+00:00,0.0,1.0,0.0,0,1
2025-05-07 00:00:00+00:00,0.25,1.0,0.25,0,4
